,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
901,Mariola Teresa Abrahamczyk (-Fronckowiak),F,21.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,
1325,Kazimierz Piotr Adach,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Bronze
1386,Stefan Adamczak,M,31.0,Poland,POL,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Pole Vault,
1388,Dariusz Adamczuk,M,22.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver
1389,Adam Eucharyst Adamczyk,M,21.0,Poland,POL,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Middleweight,
1390,Adam Eucharyst Adamczyk,M,25.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Middleweight,
1391,Edward Adamczyk,M,26.0,Poland,POL,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Long Jump,
1392,Edward Adamczyk,M,26.0,Poland,POL,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Decathlon,
1415,Tomasz Adamiec,M,26.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Lightweight,
1416,Tomasz Adamiec,M,30.0,Poland,POL,2012 Summer,2012,Summer,London,Judo,Judo Men's Lightweight,
1531,Antoni Adamski,M,20.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,
1535,Jerzy Adamski,M,23.0,Poland,POL,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,Silver
1536,Tadeusz Adamski,M,29.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,
1547,Dariusz Adamus,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Javelin Throw,
1674,Alfred Ader,M,31.0,Poland,POL,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Team",
3964,Spirydion Jan Albaski,M,28.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,
4089,Piotr Albiski,M,22.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Swimming,"Swimming Men's 1,500 metres Freestyle",
4090,Piotr Albiski,M,22.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
4875,Edward Alknin,M,25.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Lightweight,
5460,Henryk Alszer,M,34.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,
5518,Bernard Aluchna,M,23.0,Poland,POL,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Freestyle,
5519,Bernard Aluchna,M,23.0,Poland,POL,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
5981,Krystyna Ambros (-urek),F,19.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,
6005,Ewa Ambroziak,F,25.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Single Sculls,
6006,Zdzisaw Stanisaw Ambroziak,M,24.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,
6007,Zdzisaw Stanisaw Ambroziak,M,28.0,Poland,POL,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Men's Volleyball,
6542,Zygmunt Jzef Anczok,M,26.0,Poland,POL,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,Gold
7335,Maria Andrejczyk,F,20.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Javelin Throw,
7598,Zbigniew Andruszkiewicz,M,20.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Quadruple Sculls,
7609,Leszek Andrzejczak,M,21.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,
7610,Bohdan Andrzejewski,M,22.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Team",
7611,Bohdan Andrzejewski,M,26.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Individual",
7612,Bohdan Andrzejewski,M,26.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Team",Bronze
7613,Bohdan Andrzejewski,M,30.0,Poland,POL,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's epee, Team",
7614,Robert Sebastian Andrzejuk,M,33.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Team",Silver
7964,Emilia Ankiewicz,F,25.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres Hurdles,
8141,Zdzisaw Antczak,M,24.0,Poland,POL,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,
8142,Zdzisaw Antczak,M,28.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Handball,Handball Men's Handball,Bronze
8219,Aleksy Antkiewicz,M,24.0,Poland,POL,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Featherweight,Bronze
8220,Aleksy Antkiewicz,M,28.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Lightweight,Silver
8275,Micha Antoniewicz (-Woysym),M,30.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Jumping, Individual",
8276,Micha Antoniewicz (-Woysym),M,30.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Jumping, Team",Silver
8277,Micha Antoniewicz (-Woysym),M,30.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",
8278,Micha Antoniewicz (-Woysym),M,30.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
8319,Izabella Antonowicz-Szuszkiewicz,F,22.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",
8320,Izabella Antonowicz-Szuszkiewicz,F,26.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",
8321,Izabella Antonowicz-Szuszkiewicz,F,30.0,Poland,POL,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",
8575,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Individual All-Around,
8576,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,
8577,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise,
8578,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,
8579,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Uneven Bars,
8580,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,
8795,Krystian Aranowski,M,24.0,Poland,POL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,
8796,Krystian Aranowski,M,28.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,
8993,Eugeniusz Arct,M,36.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",
9483,"Maria Arndt (-Staworzyska, -Blank)",F,22.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 200 metres,
9484,"Maria Arndt (-Staworzyska, -Blank)",F,22.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,
10496,Halina Aszkieowicz (-Wojno),F,21.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,Bronze
10933,Kamila Anna Augustyn,F,26.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Women's Singles,
10934,Kamila Anna Augustyn,F,30.0,Poland,POL,2012 Summer,2012,Summer,London,Badminton,Badminton Women's Singles,
10935,Rafa Augustyn,M,24.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,
10936,Rafa Augustyn,M,28.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 20 kilometres Walk,
10937,Rafa Augustyn,M,32.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,
10938,Benedykt Stanisaw Augustyniak,M,28.0,Poland,POL,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,
11874,Marian Babirecki,M,27.0,Poland,POL,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",
11875,Marian Babirecki,M,27.0,Poland,POL,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",
11939,Grayna Bacewicz,F,39.0,Poland,POL,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",
12061,Arkadiusz Stefan Bachur,M,31.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
12062,Arkadiusz Stefan Bachur,M,31.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
12260,Andrzej Stanisaw Badeski,M,21.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,Bronze
12261,Andrzej Stanisaw Badeski,M,21.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,
12262,Andrzej Stanisaw Badeski,M,25.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,
12263,Andrzej Stanisaw Badeski,M,25.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,
12264,Andrzej Stanisaw Badeski,M,29.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,
12265,Andrzej Stanisaw Badeski,M,29.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,
12790,Marek Bajan,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Modern Pentathlon,Modern Pentathlon Men's Individual,
12791,Marek Bajan,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Modern Pentathlon,Modern Pentathlon Men's Team,
12844,Marek Antoni Bajor,M,22.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver
12848,Boena Bk (-Siemieniec),F,26.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Women's Singles,
12849,Boena Bk (-Siemieniec),F,26.0,Poland-1,POL,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Women's Doubles,
