,Index,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
0,901,Mariola Teresa Abrahamczyk (-Fronckowiak),F,21.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,
1,1325,Kazimierz Piotr Adach,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Bronze
2,1386,Stefan Adamczak,M,31.0,Poland,POL,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Pole Vault,
3,1388,Dariusz Adamczuk,M,22.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver
4,1389,Adam Eucharyst Adamczyk,M,21.0,Poland,POL,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Middleweight,
5,1390,Adam Eucharyst Adamczyk,M,25.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Middleweight,
6,1391,Edward Adamczyk,M,26.0,Poland,POL,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Long Jump,
7,1392,Edward Adamczyk,M,26.0,Poland,POL,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Decathlon,
8,1415,Tomasz Adamiec,M,26.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Lightweight,
9,1416,Tomasz Adamiec,M,30.0,Poland,POL,2012 Summer,2012,Summer,London,Judo,Judo Men's Lightweight,
10,1531,Antoni Adamski,M,20.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,
11,1535,Jerzy Adamski,M,23.0,Poland,POL,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,Silver
12,1536,Tadeusz Adamski,M,29.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,
13,1547,Dariusz Adamus,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Javelin Throw,
14,1674,Alfred Ader,M,31.0,Poland,POL,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Team",
15,3964,Spirydion Jan Albaski,M,28.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,
16,4089,Piotr Albiski,M,22.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Swimming,"Swimming Men's 1,500 metres Freestyle",
17,4090,Piotr Albiski,M,22.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
18,4875,Edward Alknin,M,25.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Lightweight,
19,5460,Henryk Alszer,M,34.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,
20,5518,Bernard Aluchna,M,23.0,Poland,POL,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Freestyle,
21,5519,Bernard Aluchna,M,23.0,Poland,POL,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
22,5981,Krystyna Ambros (-urek),F,19.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,
23,6005,Ewa Ambroziak,F,25.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Single Sculls,
24,6006,Zdzisaw Stanisaw Ambroziak,M,24.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,
25,6007,Zdzisaw Stanisaw Ambroziak,M,28.0,Poland,POL,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Men's Volleyball,
26,6542,Zygmunt Jzef Anczok,M,26.0,Poland,POL,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,Gold
27,7335,Maria Andrejczyk,F,20.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Javelin Throw,
28,7598,Zbigniew Andruszkiewicz,M,20.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Quadruple Sculls,
29,7609,Leszek Andrzejczak,M,21.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,
30,7610,Bohdan Andrzejewski,M,22.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Team",
31,7611,Bohdan Andrzejewski,M,26.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Individual",
32,7612,Bohdan Andrzejewski,M,26.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Team",Bronze
33,7613,Bohdan Andrzejewski,M,30.0,Poland,POL,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's epee, Team",
34,7614,Robert Sebastian Andrzejuk,M,33.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Team",Silver
35,7964,Emilia Ankiewicz,F,25.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres Hurdles,
36,8141,Zdzisaw Antczak,M,24.0,Poland,POL,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,
37,8142,Zdzisaw Antczak,M,28.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Handball,Handball Men's Handball,Bronze
38,8219,Aleksy Antkiewicz,M,24.0,Poland,POL,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Featherweight,Bronze
39,8220,Aleksy Antkiewicz,M,28.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Lightweight,Silver
40,8275,Micha Antoniewicz (-Woysym),M,30.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Jumping, Individual",
41,8276,Micha Antoniewicz (-Woysym),M,30.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Jumping, Team",Silver
42,8277,Micha Antoniewicz (-Woysym),M,30.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",
43,8278,Micha Antoniewicz (-Woysym),M,30.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
44,8319,Izabella Antonowicz-Szuszkiewicz,F,22.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",
45,8320,Izabella Antonowicz-Szuszkiewicz,F,26.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",
46,8321,Izabella Antonowicz-Szuszkiewicz,F,30.0,Poland,POL,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",
47,8575,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Individual All-Around,
48,8576,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,
49,8577,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise,
50,8578,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,
51,8579,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Uneven Bars,
52,8580,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,
53,8795,Krystian Aranowski,M,24.0,Poland,POL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,
54,8796,Krystian Aranowski,M,28.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,
55,8993,Eugeniusz Arct,M,36.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",
56,9483,"Maria Arndt (-Staworzyska, -Blank)",F,22.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 200 metres,
57,9484,"Maria Arndt (-Staworzyska, -Blank)",F,22.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,
58,10496,Halina Aszkieowicz (-Wojno),F,21.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,Bronze
59,10933,Kamila Anna Augustyn,F,26.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Women's Singles,
60,10934,Kamila Anna Augustyn,F,30.0,Poland,POL,2012 Summer,2012,Summer,London,Badminton,Badminton Women's Singles,
61,10935,Rafa Augustyn,M,24.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,
62,10936,Rafa Augustyn,M,28.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 20 kilometres Walk,
63,10937,Rafa Augustyn,M,32.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,
64,10938,Benedykt Stanisaw Augustyniak,M,28.0,Poland,POL,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,
65,11874,Marian Babirecki,M,27.0,Poland,POL,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",
66,11875,Marian Babirecki,M,27.0,Poland,POL,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",
67,11939,Grayna Bacewicz,F,39.0,Poland,POL,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",
68,12061,Arkadiusz Stefan Bachur,M,31.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
69,12062,Arkadiusz Stefan Bachur,M,31.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
70,12260,Andrzej Stanisaw Badeski,M,21.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,Bronze
71,12261,Andrzej Stanisaw Badeski,M,21.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,
72,12262,Andrzej Stanisaw Badeski,M,25.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,
73,12263,Andrzej Stanisaw Badeski,M,25.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,
74,12264,Andrzej Stanisaw Badeski,M,29.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,
75,12265,Andrzej Stanisaw Badeski,M,29.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,
76,12790,Marek Bajan,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Modern Pentathlon,Modern Pentathlon Men's Individual,
77,12791,Marek Bajan,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Modern Pentathlon,Modern Pentathlon Men's Team,
78,12844,Marek Antoni Bajor,M,22.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver
79,12848,Boena Bk (-Siemieniec),F,26.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Women's Singles,
80,12849,Boena Bk (-Siemieniec),F,26.0,Poland-1,POL,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Women's Doubles,
81,12852,Krystian Bk,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,
82,12975,Micha Bkiewicz,M,23.0,Poland,POL,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,
83,13067,Barbara Bakulin (-Kobzda),F,21.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 4 x 100 metres Relay,
84,13090,Jan Balachowski,M,19.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,
85,13091,Jan Balachowski,M,19.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,
86,13092,Jan Balachowski,M,23.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,
87,13237,Piotr Balcerzak,M,25.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,
88,13238,Piotr Balcerzak,M,25.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,
89,13621,Halina Balon,F,20.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Women's Foil, Individual",
90,13622,Halina Balon,F,20.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Women's Foil, Team",
91,13623,Halina Balon,F,24.0,Poland,POL,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Women's Foil, Individual",
92,13624,Halina Balon,F,24.0,Poland,POL,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Women's Foil, Team",
93,13749,ukasz Banak,M,28.0,Poland,POL,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",
94,13752,Bolesaw Bana,M,36.0,Poland,POL,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's epee, Team",
95,13753,Bolesaw Bana,M,36.0,Poland,POL,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Sabre, Individual",
96,13754,Bolesaw Bana,M,36.0,Poland,POL,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Sabre, Team",
97,13755,Justyna Banasiak,F,18.0,Poland,POL,2004 Summer,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,
98,13757,Piotr Banaszak,M,28.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight II,
99,13794,Leszek Bandach,M,28.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Individual",
100,13795,Leszek Bandach,M,28.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Team",
101,13810,Jerzy Bandura,M,32.0,Poland,POL,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",
102,13905,Hubert Jzef Banisz,M,24.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,
103,14193,Radosaw Baran,M,26.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
104,14194,Robert Baran,M,24.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",
105,14195,Witold Stanisaw Baran,M,25.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 1,500 metres",
106,14196,Jzef Baran-Bilewski,M,29.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Discus Throw,
107,14197,Barbara Bronisawa Baran-Wojnar,F,20.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's Long Jump,
